City_ID,City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
10,10,Busselton,-33.65,115.3333,78.94,32,74,5.73,"{'coord': {'lon': 115.3333, 'lat': -33.65}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 78.94, 'feels_like': 78.94, 'temp_min': 78.94, 'temp_max': 78.94, 'pressure': 1018, 'humidity': 32, 'sea_level': 1018, 'grnd_level': 1017}, 'visibility': 10000, 'wind': {'speed': 5.73, 'deg': 275, 'gust': 9.26}, 'clouds': {'all': 74}, 'dt': 1674022197, 'sys': {'country': 'AU', 'sunrise': 1673990763, 'sunset': 1674041473}, 'timezone': 28800, 'id': 2075265, 'name': 'Busselton', 'cod': 200}",broken clouds
11,11,Igarka,67.4667,86.5833,-30.33,89,87,8.72,"{'coord': {'lon': 86.5833, 'lat': 67.4667}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': -30.33, 'feels_like': -42.93, 'temp_min': -30.33, 'temp_max': -30.33, 'pressure': 1039, 'humidity': 89, 'sea_level': 1039, 'grnd_level': 1036}, 'visibility': 10000, 'wind': {'speed': 8.72, 'deg': 157, 'gust': 19.6}, 'clouds': {'all': 87}, 'dt': 1674022197, 'sys': {'country': 'RU', 'sunrise': 1674015874, 'sunset': 1674030166}, 'timezone': 25200, 'id': 1505991, 'name': 'Igarka', 'cod': 200}",overcast clouds
12,12,Garowe,8.4054,48.4845,71.47,67,19,11.68,"{'coord': {'lon': 48.4845, 'lat': 8.4054}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 71.47, 'feels_like': 71.47, 'temp_min': 71.47, 'temp_max': 71.47, 'pressure': 1017, 'humidity': 67, 'sea_level': 1017, 'grnd_level': 964}, 'visibility': 10000, 'wind': {'speed': 11.68, 'deg': 59, 'gust': 13.71}, 'clouds': {'all': 19}, 'dt': 1674022198, 'sys': {'country': 'SO', 'sunrise': 1674011116, 'sunset': 1674053216}, 'timezone': 10800, 'id': 58933, 'name': 'Garoowe', 'cod': 200}",few clouds
13,13,Ushuaia,-54.8,-68.3,47.75,97,92,6.04,"{'coord': {'lon': -68.3, 'lat': -54.8}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 47.75, 'feels_like': 44.96, 'temp_min': 47.75, 'temp_max': 47.75, 'pressure': 1007, 'humidity': 97, 'sea_level': 1007, 'grnd_level': 1001}, 'visibility': 10000, 'wind': {'speed': 6.04, 'deg': 320, 'gust': 8.86}, 'clouds': {'all': 92}, 'dt': 1674022198, 'sys': {'country': 'AR', 'sunrise': 1674030449, 'sunset': 1674089952}, 'timezone': -10800, 'id': 3833367, 'name': 'Ushuaia', 'cod': 200}",overcast clouds
14,14,San Luis,-33.295,-66.3356,65.34,74,65,7.47,"{'coord': {'lon': -66.3356, 'lat': -33.295}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 65.34, 'feels_like': 65.05, 'temp_min': 65.34, 'temp_max': 65.34, 'pressure': 1015, 'humidity': 74, 'sea_level': 1015, 'grnd_level': 933}, 'visibility': 10000, 'wind': {'speed': 7.47, 'deg': 79, 'gust': 11.14}, 'clouds': {'all': 65}, 'dt': 1674022199, 'sys': {'country': 'AR', 'sunrise': 1674034442, 'sunset': 1674085016}, 'timezone': -10800, 'id': 3837056, 'name': 'San Luis', 'cod': 200}",broken clouds
15,15,Mayor Pablo Lagerenza,-19.9309,-60.7718,73.29,85,95,3.6,"{'coord': {'lon': -60.7718, 'lat': -19.9309}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 73.29, 'feels_like': 74.32, 'temp_min': 73.29, 'temp_max': 73.29, 'pressure': 1011, 'humidity': 85, 'sea_level': 1011, 'grnd_level': 988}, 'visibility': 10000, 'wind': {'speed': 3.6, 'deg': 322, 'gust': 4.59}, 'clouds': {'all': 95}, 'dt': 1674022199, 'sys': {'country': 'PY', 'sunrise': 1674034687, 'sunset': 1674082099}, 'timezone': -10800, 'id': 3867427, 'name': 'Mayor Pablo Lagerenza', 'cod': 200}",overcast clouds
16,16,Shentala,54.45,51.4833,1.09,89,24,6.4,"{'coord': {'lon': 51.4833, 'lat': 54.45}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 1.09, 'feels_like': -11.06, 'temp_min': 1.09, 'temp_max': 1.09, 'pressure': 1039, 'humidity': 89, 'sea_level': 1039, 'grnd_level': 1007}, 'visibility': 10000, 'wind': {'speed': 6.4, 'deg': 144, 'gust': 17.67}, 'clouds': {'all': 24}, 'dt': 1674022200, 'sys': {'country': 'RU', 'sunrise': 1674017049, 'sunset': 1674045842}, 'timezone': 14400, 'id': 494877, 'name': 'Shentala', 'cod': 200}",few clouds
17,17,Vila Franca Do Campo,37.7167,-25.4333,54.01,77,16,7.74,"{'coord': {'lon': -25.4333, 'lat': 37.7167}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 54.01, 'feels_like': 52.74, 'temp_min': 54.01, 'temp_max': 54.01, 'pressure': 1034, 'humidity': 77, 'sea_level': 1034, 'grnd_level': 1031}, 'visibility': 10000, 'wind': {'speed': 7.74, 'deg': 28, 'gust': 13.02}, 'clouds': {'all': 16}, 'dt': 1674022200, 'sys': {'type': 1, 'id': 6899, 'country': 'PT', 'sunrise': 1674032083, 'sunset': 1674067737}, 'timezone': -3600, 'id': 3372472, 'name': 'Vila Franca do Campo', 'cod': 200}",few clouds
18,18,Vila Velha,-20.3297,-40.2925,73.94,97,20,0.0,"{'coord': {'lon': -40.2925, 'lat': -20.3297}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 73.94, 'feels_like': 75.6, 'temp_min': 73.35, 'temp_max': 73.94, 'pressure': 1016, 'humidity': 97}, 'visibility': 10000, 'wind': {'speed': 0, 'deg': 0}, 'clouds': {'all': 20}, 'dt': 1674022033, 'sys': {'type': 2, 'id': 2012383, 'country': 'BR', 'sunrise': 1674029728, 'sunset': 1674077226}, 'timezone': -10800, 'id': 3445026, 'name': 'Vila Velha', 'cod': 200}",few clouds
19,19,Port Alfred,-33.5906,26.891,81.18,72,86,12.73,"{'coord': {'lon': 26.891, 'lat': -33.5906}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 81.18, 'feels_like': 85.3, 'temp_min': 81.18, 'temp_max': 81.18, 'pressure': 1009, 'humidity': 72, 'sea_level': 1009, 'grnd_level': 1007}, 'visibility': 10000, 'wind': {'speed': 12.73, 'deg': 36, 'gust': 16.53}, 'clouds': {'all': 86}, 'dt': 1674022201, 'sys': {'country': 'ZA', 'sunrise': 1674012012, 'sunset': 1674062687}, 'timezone': 7200, 'id': 964432, 'name': 'Port Alfred', 'cod': 200}",overcast clouds
20,20,Loiza,18.4313,-65.8802,77.07,70,20,8.05,"{'coord': {'lon': -65.8802, 'lat': 18.4313}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 72.43, 'feels_like': 72.66, 'temp_min': 63.68, 'temp_max': 77.07, 'pressure': 1017, 'humidity': 70}, 'visibility': 10000, 'wind': {'speed': 8.05, 'deg': 50}, 'clouds': {'all': 20}, 'dt': 1674022201, 'sys': {'type': 1, 'id': 8793, 'country': 'PR', 'sunrise': 1674039517, 'sunset': 1674079721}, 'timezone': -14400, 'id': 4566022, 'name': 'Loíza', 'cod': 200}",few clouds
21,21,Longyearbyen,78.2186,15.6401,13.84,57,0,8.05,"{'coord': {'lon': 15.6401, 'lat': 78.2186}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 13.84, 'feels_like': 2.68, 'temp_min': 13.84, 'temp_max': 13.84, 'pressure': 1010, 'humidity': 57}, 'visibility': 10000, 'wind': {'speed': 8.05, 'deg': 130}, 'clouds': {'all': 0}, 'dt': 1674022201, 'sys': {'type': 1, 'id': 1663, 'country': 'SJ', 'sunrise': 0, 'sunset': 0}, 'timezone': 3600, 'id': 2729907, 'name': 'Longyearbyen', 'cod': 200}",clear sky
22,22,Arraial Do Cabo,-22.9661,-42.0278,73.45,93,0,18.48,"{'coord': {'lon': -42.0278, 'lat': -22.9661}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 73.45, 'feels_like': 74.88, 'temp_min': 73.45, 'temp_max': 73.45, 'pressure': 1014, 'humidity': 93, 'sea_level': 1014, 'grnd_level': 1012}, 'visibility': 10000, 'wind': {'speed': 18.48, 'deg': 47, 'gust': 29.17}, 'clouds': {'all': 0}, 'dt': 1674022202, 'sys': {'country': 'BR', 'sunrise': 1674029862, 'sunset': 1674077925}, 'timezone': -10800, 'id': 3471451, 'name': 'Arraial do Cabo', 'cod': 200}",clear sky
23,23,Saint George,37.1041,-113.5841,40.24,88,75,1.99,"{'coord': {'lon': -113.5841, 'lat': 37.1041}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 37.65, 'feels_like': 37.65, 'temp_min': 37.44, 'temp_max': 40.24, 'pressure': 1012, 'humidity': 88}, 'visibility': 10000, 'wind': {'speed': 1.99, 'deg': 211, 'gust': 1.99}, 'clouds': {'all': 75}, 'dt': 1674022202, 'sys': {'type': 2, 'id': 2010805, 'country': 'US', 'sunrise': 1673966768, 'sunset': 1674002535}, 'timezone': -25200, 'id': 5546220, 'name': 'Saint George', 'cod': 200}",broken clouds
24,24,Ilulissat,69.2167,-51.1,-27.42,79,89,6.71,"{'coord': {'lon': -51.1, 'lat': 69.2167}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': -27.42, 'feels_like': -40.02, 'temp_min': -27.42, 'temp_max': -27.42, 'pressure': 1026, 'humidity': 79, 'sea_level': 1026, 'grnd_level': 1021}, 'visibility': 10000, 'wind': {'speed': 6.71, 'deg': 81, 'gust': 6.13}, 'clouds': {'all': 89}, 'dt': 1674022203, 'sys': {'country': 'GL', 'sunrise': 1674051505, 'sunset': 1674060638}, 'timezone': -10800, 'id': 3423146, 'name': 'Ilulissat', 'cod': 200}",overcast clouds
25,25,Port Elizabeth,-33.918,25.5701,78.31,92,99,1.99,"{'coord': {'lon': 25.5701, 'lat': -33.918}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 78.31, 'feels_like': 80.17, 'temp_min': 78.1, 'temp_max': 78.31, 'pressure': 1010, 'humidity': 92}, 'visibility': 10000, 'wind': {'speed': 1.99, 'deg': 66, 'gust': 8.99}, 'clouds': {'all': 99}, 'dt': 1674022203, 'sys': {'type': 2, 'id': 2072678, 'country': 'ZA', 'sunrise': 1674012284, 'sunset': 1674063049}, 'timezone': 7200, 'id': 964420, 'name': 'Port Elizabeth', 'cod': 200}",overcast clouds
26,26,Upernavik,72.7868,-56.1549,-12.42,93,100,6.53,"{'coord': {'lon': -56.1549, 'lat': 72.7868}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': -12.42, 'feels_like': -25.02, 'temp_min': -12.42, 'temp_max': -12.42, 'pressure': 1026, 'humidity': 93, 'sea_level': 1026, 'grnd_level': 1026}, 'visibility': 2188, 'wind': {'speed': 6.53, 'deg': 98, 'gust': 6.93}, 'clouds': {'all': 100}, 'dt': 1674022186, 'sys': {'country': 'GL', 'sunrise': 0, 'sunset': 0}, 'timezone': -10800, 'id': 3418910, 'name': 'Upernavik', 'cod': 200}",overcast clouds
27,27,Qaanaaq,77.484,-69.3632,-19.62,87,90,6.31,"{'coord': {'lon': -69.3632, 'lat': 77.484}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': -19.62, 'feels_like': -32.22, 'temp_min': -19.62, 'temp_max': -19.62, 'pressure': 1027, 'humidity': 87, 'sea_level': 1027, 'grnd_level': 1023}, 'visibility': 10000, 'wind': {'speed': 6.31, 'deg': 40, 'gust': 6.2}, 'clouds': {'all': 90}, 'dt': 1674022204, 'sys': {'country': 'GL', 'sunrise': 0, 'sunset': 0}, 'timezone': -14400, 'id': 3831208, 'name': 'Qaanaaq', 'cod': 200}",overcast clouds
28,28,Mungaa,-4.9667,34.8833,65.66,70,68,6.49,"{'coord': {'lon': 34.8833, 'lat': -4.9667}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 65.66, 'feels_like': 65.21, 'temp_min': 65.66, 'temp_max': 65.66, 'pressure': 1015, 'humidity': 70, 'sea_level': 1015, 'grnd_level': 844}, 'visibility': 10000, 'wind': {'speed': 6.49, 'deg': 73, 'gust': 12.03}, 'clouds': {'all': 68}, 'dt': 1674022205, 'sys': {'country': 'TZ', 'sunrise': 1674013167, 'sunset': 1674057694}, 'timezone': 10800, 'id': 152546, 'name': 'Mungaa', 'cod': 200}",broken clouds
29,29,Hithadhoo,-0.6,73.0833,81.01,66,3,5.1,"{'coord': {'lon': 73.0833, 'lat': -0.6}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 81.01, 'feels_like': 83.98, 'temp_min': 81.01, 'temp_max': 81.01, 'pressure': 1013, 'humidity': 66, 'sea_level': 1013, 'grnd_level': 1012}, 'visibility': 10000, 'wind': {'speed': 5.1, 'deg': 26, 'gust': 4.92}, 'clouds': {'all': 3}, 'dt': 1674022205, 'sys': {'country': 'MV', 'sunrise': 1674004393, 'sunset': 1674048128}, 'timezone': 18000, 'id': 1282256, 'name': 'Hithadhoo', 'cod': 200}",clear sky
30,30,Chuy,-33.6971,-53.4616,67.53,82,0,7.76,"{'coord': {'lon': -53.4616, 'lat': -33.6971}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 67.53, 'feels_like': 67.84, 'temp_min': 67.53, 'temp_max': 67.53, 'pressure': 1020, 'humidity': 82, 'sea_level': 1020, 'grnd_level': 1017}, 'visibility': 10000, 'wind': {'speed': 7.76, 'deg': 76, 'gust': 15.41}, 'clouds': {'all': 0}, 'dt': 1674022206, 'sys': {'country': 'UY', 'sunrise': 1674031295, 'sunset': 1674081982}, 'timezone': -10800, 'id': 3443061, 'name': 'Chui', 'cod': 200}",clear sky
31,31,Muscat,23.6139,58.5922,80.62,52,0,3.91,"{'coord': {'lon': 58.5922, 'lat': 23.6139}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 80.62, 'feels_like': 81.59, 'temp_min': 80.62, 'temp_max': 80.62, 'pressure': 1016, 'humidity': 52, 'sea_level': 1016, 'grnd_level': 1015}, 'visibility': 10000, 'wind': {'speed': 3.91, 'deg': 157, 'gust': 5.26}, 'clouds': {'all': 0}, 'dt': 1674022206, 'sys': {'type': 1, 'id': 7560, 'country': 'OM', 'sunrise': 1674010178, 'sunset': 1674049300}, 'timezone': 14400, 'id': 287286, 'name': 'Muscat', 'cod': 200}",clear sky
32,32,Maniitsoq,65.4167,-52.9,-0.13,70,53,9.98,"{'coord': {'lon': -52.9, 'lat': 65.4167}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': -0.13, 'feels_like': -12.73, 'temp_min': -0.13, 'temp_max': -0.13, 'pressure': 1016, 'humidity': 70, 'sea_level': 1016, 'grnd_level': 1012}, 'visibility': 10000, 'wind': {'speed': 9.98, 'deg': 46, 'gust': 8.66}, 'clouds': {'all': 53}, 'dt': 1674022207, 'sys': {'country': 'GL', 'sunrise': 1674047277, 'sunset': 1674065730}, 'timezone': -10800, 'id': 3421982, 'name': 'Maniitsoq', 'cod': 200}",broken clouds
33,33,Los Llanos De Aridane,28.6585,-17.9182,58.75,59,100,8.05,"{'coord': {'lon': -17.9182, 'lat': 28.6585}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 58.75, 'feels_like': 57.09, 'temp_min': 58.75, 'temp_max': 58.75, 'pressure': 1022, 'humidity': 59}, 'visibility': 10000, 'wind': {'speed': 8.05, 'deg': 340}, 'clouds': {'all': 100}, 'dt': 1674022207, 'sys': {'type': 1, 'id': 2377, 'country': 'ES', 'sunrise': 1674029103, 'sunset': 1674067109}, 'timezone': 0, 'id': 2514651, 'name': 'Los Llanos de Aridane', 'cod': 200}",overcast clouds
34,34,Margate,51.3813,1.3862,29.3,90,7,17.65,"{'coord': {'lon': 1.3862, 'lat': 51.3813}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 28.76, 'feels_like': 16.48, 'temp_min': 27.9, 'temp_max': 29.3, 'pressure': 994, 'humidity': 90, 'sea_level': 994, 'grnd_level': 991}, 'visibility': 10000, 'wind': {'speed': 17.65, 'deg': 275, 'gust': 24.65}, 'clouds': {'all': 7}, 'dt': 1674022207, 'sys': {'type': 2, 'id': 2040265, 'country': 'GB', 'sunrise': 1674028226, 'sunset': 1674058718}, 'timezone': 0, 'id': 2643044, 'name': 'Margate', 'cod': 200}",clear sky
35,35,Hamilton,39.1834,-84.5333,42.24,82,100,10.36,"{'coord': {'lon': -84.5333, 'lat': 39.1834}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 41.07, 'feels_like': 34.83, 'temp_min': 39.76, 'temp_max': 42.24, 'pressure': 1011, 'humidity': 82}, 'visibility': 10000, 'wind': {'speed': 10.36, 'deg': 290}, 'clouds': {'all': 100}, 'dt': 1674022204, 'sys': {'type': 2, 'id': 2005257, 'country': 'US', 'sunrise': 1674046481, 'sunset': 1674081713}, 'timezone': -18000, 'id': 4513583, 'name': 'Hamilton', 'cod': 200}",overcast clouds
36,36,San Carlos,9.6612,-68.5827,71.11,81,30,3.69,"{'coord': {'lon': -68.5827, 'lat': 9.6612}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 71.11, 'feels_like': 71.73, 'temp_min': 71.11, 'temp_max': 71.11, 'pressure': 1012, 'humidity': 81, 'sea_level': 1012, 'grnd_level': 994}, 'visibility': 10000, 'wind': {'speed': 3.69, 'deg': 355, 'gust': 4.79}, 'clouds': {'all': 30}, 'dt': 1674022153, 'sys': {'country': 'VE', 'sunrise': 1674039331, 'sunset': 1674081206}, 'timezone': -14400, 'id': 3628503, 'name': 'San Carlos', 'cod': 200}",scattered clouds
